id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
11470374;2 bedrooms in Boston Dutch Colonial;8267675;Robrecht;0;Dorchester;42.29268731;-71.07434934;Entire home/apt;160;4;5;2018-05-26;0.15;2;0
11470818;Condo on QUIET street in heart of CITY w/ A/C;32870796;Jessica;0;South End;42.34197616;-71.08127587;Entire home/apt;450;5;19;2018-10-30;0.58;2;34
11474130;Sunny room in great Boston location;60374290;Jennifer;0;Fenway;42.34808231;-71.10160119;Private room;100;1;19;2018-11-10;0.6;1;359
11474629;Stayloom’s Historic Hideaway | near T;60375320;David;0;South Boston;42.3382824;-71.05227309;Entire home/apt;5000;1;141;2018-11-07;4.65;2;317
11488759;Cool 2 Bedroom apt @Kendall Sq!;28749942;Renata;0;West End;42.36188323;-71.06883782;Entire home/apt;149;1;45;2018-04-26;1.49;12;74
11489064;Ensuite Private Room @Kendall/MIT;28749942;Renata;0;West End;42.36158157;-71.06925289;Private room;99;1;61;2018-11-05;2.06;12;76
11489218;Nice Room +Bathroom @Kendall/MIT;28749942;Renata;0;West End;42.36229913;-71.06993436;Private room;99;1;64;2018-11-05;2.15;12;161
11492423;Ideal location for business or fun!;10393465;Gary;0;South Boston;42.33590742;-71.05536568;Private room;75;1;101;2018-11-05;3.14;2;353
11494020;cozy sunny studio ( St Elizabethl;60344161;Clemente;0;Brighton;42.34701863;-71.14648281;Entire home/apt;95;5;41;2018-09-26;1.32;1;332
11498416;?? AIRBNB HOTEL #2;25938928;Ricardo;0;East Boston;42.36777208;-71.03788731;Private room;30;1;256;2018-11-02;7.8;10;18
11498523;?? AIRBNB HOTEL #3;25938928;Ricardo;0;East Boston;42.36663691;-71.03884285;Private room;30;1;260;2018-10-30;7.91;10;17
11498583;?? AIRBNB HOTEL #4;25938928;Ricardo;0;East Boston;42.36614916;-71.03943971;Private room;30;1;276;2018-11-03;8.44;10;17
11512755;Appartment 2BR 1BT;10138187;Sally;0;Allston;42.35272546;-71.12065085;Entire home/apt;75;4;0;0;0;2;0
11521541;Historic and Charming Brownstone!!;14133713;Katy;0;Charlestown;42.38195179;-71.06866985;Entire home/apt;780;2;10;2018-05-04;0.33;1;355
11528125;One bedroom with TV and balcony;10138187;Sally;0;Allston;42.35268367;-71.12124797;Private room;50;3;1;2016-03-11;0.03;2;0
11547657;BIG BEAUTIFUL SUNNY SOUTH END STUDIO APARTMENT!;19123819;Jake;0;South End;42.33959528;-71.07333478;Entire home/apt;175;2;11;2018-11-05;0.57;1;0
11553697;Sunny Comfortable Apt in JP;5539314;Toni;0;Jamaica Plain;42.32173185;-71.11186968;Entire home/apt;200;1;13;2016-11-20;0.4;1;0
